ID,Title,Description,Type,Target,Bonus,Est. Income,Wait Time (Sec),Wait Growth,Power Multiplier,BASE COST,COST FACTOR,MaxLevel
1_Emitter_Max_Cap_01,Emitter Max Cap 01,Max emitter number +1,Additive,EmitterMaxCap,1,0.05,10,1.2,1.00,0.50,1.35,19
1_Emitter_Max_Cap_02,Emitter Max Cap 02,Max emitter number +2,Additive,EmitterMaxCap,2,8.00,180,1.2,1.00,1440,1.4,15
1_Emitter_Max_Cap_03,Emitter Max Cap 03,Max emitter number +5,Additive,EmitterMaxCap,5,250,600,1.25,1.00,150000,1.5,10
1_Emitter_Max_Cap_04,Emitter Max Cap 04,Max emitter number +10,Additive,EmitterMaxCap,10,15000,1200,1.25,1.00,18000000,1.45,15
1_Emitter_Max_Cap_05,Emitter Max Cap 05,Max emitter number +25,Additive,EmitterMaxCap,25,5000000,2400,1.35,1.00,12000000000,1.55,10
1_Emitter_Max_Cap_06,Emitter Max Cap 06,Max emitter number +50,Additive,EmitterMaxCap,50,2000000000,3600,1.4,1.00,7200000000000,2,10
1_Emitter_Max_Cap_07,Emitter Max Cap 07,Max emitter number +75,Additive,EmitterMaxCap,75,500000000000,7200,1.3,1.00,3600000000000000,1.4,20
1_Emitter_Max_Cap_08,Emitter Max Cap 08,Max emitter number +100,Additive,EmitterMaxCap,100,20000000000000000,14400,1.25,1.00,288000000000000000000,1.3,25
1_Emitter_Max_Cap_09,Emitter Max Cap 09,Max emitter number +125,Additive,EmitterMaxCap,125,500000000000000000000,43200,1.22,1.00,21600000000000000000000000,1.25,40
1_Global_Production_01,Global Production 01,Global energy production +15%,Multiplier,GlobalProduction,0.15,0,1,1.30,1.15,0.01,1.50,40
1_Global_Production_02,Global Production 02,Global energy production +25%,Multiplier,GlobalProduction,0.25,0,5,1.40,1.25,0.25,1.75,30
1_Global_Production_03,Global Production 03,Global energy production +30%,Multiplier,GlobalProduction,0.30,1,30,1.45,1.30,19.80,1.89,20
1_Global_Production_04,Global Production 04,Global energy production +50%,Multiplier,GlobalProduction,0.50,6,120,1.65,1.50,673,2.48,2
